Sex1,Date,YEAR,side,Location,ID,QRATE,Date1,Date2,Month,Month1
MM,1989-07-24,1989,Left,Gully,10,3,1989-07-24,1989-07-24,7,Jul
FJ,1989-07-24,1989,Left,Gully,9,3,1989-07-24,1989-07-24,7,Jul
FJ,1989-07-24,1989,Right,Gully,9,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Left,Gully,10,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Right,Gully,2,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,13,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Left,Gully,1,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Left,Gully,1,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Left,Gully,1,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Right,Gully,1,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Right,Gully,1,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Right,Gully,2,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Right,Gully,2,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Right,Gully,2,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Right,Gully,2,4,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Right,Gully,2,4,1989-07-24,1989-07-24,7,Jul
Male,1989-07-24,1989,Left,Gully,3,3,1989-07-24,1989-07-24,7,Jul
Male,1989-07-24,1989,Left,Gully,3,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Right,Gully,1,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Left,Gully,1,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,13,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Left,Gully,1,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Right,Gully,8,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Right,Gully,8,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Right,Gully,8,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Left,Gully,1,3,1989-07-24,1989-07-24,7,Jul
Male,1989-07-24,1989,Left,Gully,3,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Right,Gully,2,3,1989-07-24,1989-07-24,7,Jul
Male,1989-07-24,1989,Right,Gully,3,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Right,Gully,2,3,1989-07-24,1989-07-24,7,Jul
Male,1989-07-24,1989,Right,Gully,3,4,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Right,Gully,2,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,2,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,2,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Left,Gully,15,4,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Left,Gully,15,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Right,Gully,15,4,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Right,Gully,15,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Left,Gully,15,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Right,Gully,14,3,1989-07-24,1989-07-24,7,Jul
FJ,1989-07-24,1989,Left,Gully,17,3,1989-07-24,1989-07-24,7,Jul
FJ,1989-07-24,1989,Left,Gully,17,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Right,Gully,22,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,13,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Left,Gully,10,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Left,Gully,10,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Right,Gully,1,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,13,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,13,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,26,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,13,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,26,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,24,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Left,Gully,1,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,32,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,25,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,25,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Right,Gully,1,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Right,Gully,28,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Right,Gully,1,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Right,Gully,28,4,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Right,Gully,28,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Right,Gully,1,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Right,Gully,1,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,13,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,13,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,13,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,13,3,1989-07-24,1989-07-24,7,Jul
