ID,ID.side,Sex,Sex1,YEAR1,YEARLAST,ANIMAL_YRS,N
1234,1234-LEFT,UNK,UNK,1997,1997,0,2
1237,1237-RIGHT,UNK,UNK,1997,1997,0,1
1239,1239-LEFT,UNK,UNK,1997,1998,1,8
1239,1239-RIGHT,UNK,UNK,1997,1998,1,4
124,124-LEFT,MaleM,Male,1989,1997,8,8
124,124-RIGHT,MaleM,Male,1996,2002,6,8
1244,1244-RIGHT,UNK,UNK,1997,1997,0,1
1247,1247-LEFT,UNK,UNK,1997,1997,0,2
1248,1248-LEFT,UNK,UNK,1997,1997,0,2
1249,1249-RIGHT,UNK,UNK,1997,1997,0,2
1251,1251-LEFT,UNK,UNK,1997,1997,0,1
1253,1253-LEFT,UNK,UNK,1998,1998,0,1
1253,1253-RIGHT,UNK,UNK,1997,1998,1,6
1254,1254-LEFT,UNK,UNK,1997,1997,0,1
1255,1255-RIGHT,UNK,UNK,1997,1997,0,2
1258,1258-RIGHT,UNK,UNK,1997,1997,0,4
1261,1261-LEFT,UNK,UNK,1997,1997,0,1
1264,1264-RIGHT,UNK,UNK,1997,1997,0,1
1266,1266-RIGHT,UNK,UNK,1997,1997,0,2
1267,1267-RIGHT,UNK,UNK,1997,1997,0,4
127,127-LEFT,UNK,UNK,1989,2002,13,10
127,127-RIGHT,UNK,UNK,1989,2002,13,6
1270,1270-LEFT,UNK,UNK,1997,1997,0,1
1272,1272-LEFT,UNK,UNK,1997,1997,0,2
1272,1272-RIGHT,UNK,UNK,1998,1998,0,2
1274,1274-RIGHT,UNK,UNK,1997,1997,0,1
1275,1275-RIGHT,UNK,UNK,1997,1997,0,2
1276,1276-RIGHT,UNK,UNK,1997,1997,0,3
1277,1277-LEFT,UNK,UNK,1997,1997,0,1
1280,1280-LEFT,UNK,UNK,1997,1997,0,2
1281,1281-LEFT,UNK,UNK,1997,1997,0,1
1284,1284-LEFT,UNK,UNK,1997,1998,1,3
1285,1285-LEFT,UNK,UNK,1997,1997,0,2
129,129-LEFT,UNK,UNK,1989,1990,1,4
1291,1291-RIGHT,UNK,UNK,1997,1997,0,1
1292,1292-LEFT,MaleM,UNK,1997,1997,0,7
1293,1293-LEFT,MaleM,UNK,1997,1997,0,2
1296,1296-RIGHT,UNK,UNK,1997,1997,0,3
1297,1297-RIGHT,UNK,UNK,1997,1997,0,2
13,13-LEFT,UNK,UNK,1989,1990,1,7
13,13-RIGHT,UNK,UNK,1989,1990,1,4
1301,1301-RIGHT,UNK,UNK,1997,1997,0,3
1307,1307-RIGHT,UNK,UNK,1997,1997,0,3
1309,1309-LEFT,UNK,UNK,1997,1997,0,2
131,131-LEFT,UNK,UNK,1989,1999,10,15
131,131-RIGHT,UNK,UNK,1997,1999,2,9
1311,1311-LEFT,UNK,UNK,1997,1997,0,2
1311,1311-RIGHT,UNK,UNK,1997,1997,0,1
1313,1313-LEFT,FemaleJ,Female,1998,2011,13,14
1313,1313-RIGHT,FemaleJ,Female,1997,2011,14,16
1315,1315-LEFT,FemaleJ,Female,1997,1997,0,3
1317,1317-LEFT,UNK,UNK,1997,2021,24,8
1318,1318-RIGHT,FemaleJ,Female,1997,1997,0,2
132,132-RIGHT,UNK,UNK,1989,1989,0,3
1320,1320-RIGHT,UNK,UNK,1997,1997,0,2
1325,1325-LEFT,UNK,UNK,1997,1997,0,2
1329,1329-LEFT,FemaleJ,Female,1997,1998,1,6
1332,1332-LEFT,UNK,UNK,1997,1999,2,7
1332,1332-RIGHT,UNK,UNK,1997,1998,1,7
