"ID","side","Sex","Year_rel","count"
"1414","Left","UNK",NA,7
"1417","Right","UNK",NA,18
"1418","Right","UNK",NA,11
"1420","Right","UNK",NA,1
"1422","Left","UNK",NA,8
"1422","Right","UNK",NA,27
"1424","Left","MaleM",1998,20
"1424","Right","MaleM",1998,18
"1426","Left","UNK",NA,3
"1426","Right","UNK",NA,7
"1429","Left","UNK",NA,2
"143","Left","UNK",1990,5
"143","Right","UNK",1990,1
"1435","Left","UNK",1998,4
"1435","Right","UNK",1998,6
"1436","Right","UNK",NA,6
"1438","Left","UNK",NA,14
"144","Left","UNK",NA,1
"1442","Right","UNK",NA,13
"1445","Left","UNK",NA,3
"145","Right","UNK",NA,1
"1450","Right","UNK",NA,18
"1451","Right","UNK",NA,20
"1452","Left","UNK",NA,6
"1458","Left","MaleM",2016,178
"146","Left","UNK",NA,2
"1461","Right","MaleM",NA,25
"1466","Right","UNK",NA,2
"1469","Left","UNK",NA,43
"1469","Right","UNK",NA,25
"1470","Left","UNK",2003,39
"1470","Right","UNK",2003,4
"1472","Left","UNK",NA,31
"1472","Right","UNK",NA,52
"1473","Left","UNK",NA,4
"1479","Left","UNK",NA,1
"1488","Left","UNK",NA,2
"149","Left","UNK",NA,1
"1493","Left","UNK",NA,3
"1496","Right","UNK",NA,2
"1497","Right","UNK",NA,1
"15","Left","MaleM",1989,7
"15","Right","MaleM",1989,4
"150","Left","UNK",NA,1
"1500","Left","UNK",NA,4
"1501","Left","UNK",1998,2
"1501","Right","UNK",1998,3
"1503","Right","UNK",NA,2
"1504","Left","UNK",NA,3
"1505","Left","UNK",NA,5
"1507","Right","UNK",NA,6
"151","Left","UNK",1989,4
"151","Right","UNK",1989,2
"1510","Right","UNK",NA,8
"1512","Left","UNK",1998,6
"1512","Right","UNK",1998,4
"1513","Left","UNK",NA,3
"1515","Left","UNK",NA,1
"152","Left","UNK",NA,18
"152","Right","UNK",NA,15
"153","Right","UNK",NA,7
"156","Left","UNK",NA,10
"158","Left","UNK",NA,1
"159","Left","UNK",1989,28
"159","Right","UNK",1989,25
"16","Left","MaleM",1990,21
"16","Right","MaleM",1990,42
"1602","Right","UNK",NA,3
"1605","Right","UNK",NA,4
"1618","Right","UNK",NA,14
"162","Left","FemaleJ",1989,68
"162","Right","FemaleJ",1989,37
"1621","Right","UNK",NA,6
"1622","Left","UNK",NA,19
"1623","Left","UNK",NA,6
"1626","Right","UNK",NA,1
"1628","Left","UNK",NA,1
"1628","Right","UNK",NA,7
"1630","Left","UNK",NA,15
"1631","Left","UNK",NA,5
"1632","Right","UNK",NA,3
"1633","Right","UNK",NA,26
"1634","Left","UNK",NA,17
"1642","Left","UNK",2001,1
"1645","Left","UNK",NA,11
"1645","Right","UNK",NA,11
"1651","Left","UNK",NA,5
"1651","Right","UNK",NA,5
"166","Right","UNK",1990,5
"1662","Left","UNK",1999,6
"1662","Right","UNK",1999,10
"1667","Left","UNK",NA,3
"1672","Right","UNK",NA,2
"1674","Right","UNK",NA,1
"1676","Left","MaleM",NA,17
"1677","Left","UNK",NA,4
"168","Left","UNK",NA,9
"1687","Right","UNK",NA,1
"1692","Right","MaleM",NA,8
"1693","Right","MaleM",NA,10
"1695","Right","UNK",NA,1
"1696","Left","MaleM",1999,5
"1697","Left","UNK",NA,1
"17","Left","UNK",1989,23
"17","Right","UNK",1989,18
"170","Left","UNK",1997,30
"170","Right","UNK",1997,23
"1707","Right","UNK",NA,1
"1715","Right","UNK",NA,2
"1716","Left","UNK",NA,2
"1720","Left","UNK",NA,1
"1721","Left","UNK",NA,1
"1723","Left","UNK",NA,7
"1723","Right","UNK",NA,3
"1730","Right","UNK",NA,1
"1735","Right","UNK",NA,2
"1737","Left","UNK",NA,2
"1739","Left","MaleM",2001,131
"1739","Right","MaleM",2001,95
"174","Left","UNK",NA,2
"174","Right","UNK",NA,1
"1744","Right","UNK",NA,2
"1747","Left","UNK",2006,21
"1747","Right","UNK",2006,20
"1749","Right","UNK",NA,1
"1750","Right","UNK",NA,1
"1752","Left","UNK",NA,2
"1752","Right","UNK",NA,4
"1753","Left","UNK",NA,3
"1753","Right","UNK",NA,6
"1755","Left","UNK",NA,1
"1756","Right","UNK",NA,3
"1757","Left","UNK",2001,159
"1757","Right","UNK",2001,130
"1759","Left","UNK",NA,1
"176","Left","UNK",NA,1
"1764","Left","UNK",NA,1
"1765","Right","UNK",NA,1
"1771","Right","UNK",NA,2
"1772","Right","UNK",2001,1
"1774","Left","UNK",NA,1
"1777","Right","UNK",NA,1
"1779","Left","MaleM",2002,14
"1779","Right","MaleM",2002,17
"178","Right","UNK",NA,1
"1791","Left","UNK",NA,1
"1791","Right","UNK",NA,1
"1796","Left","UNK",NA,2
"18","Left","MaleM",1989,21
"18","Right","MaleM",1989,16
"1803","Left","UNK",NA,1
"1804","Left","UNK",2001,1
"1818","Right","UNK",NA,6
"1825","Right","UNK",NA,4
"1829","Left","MaleM",2001,34
"1829","Right","MaleM",2001,45
"183","Left","UNK",NA,19
"1832","Right","UNK",NA,5
"184","Right","UNK",NA,11
"185","Right","MaleM",NA,10
"186","Right","MaleM",1989,8
"189","Left","UNK",NA,4
"1904","Right","UNK",NA,40
"1907","Left","UNK",NA,1
"1914","Right","UNK",NA,1
"1917","Left","UNK",NA,5
"1919","Right","UNK",NA,1
"1924","Left","MaleM",NA,1
"1926","Right","UNK",NA,4
"1929","Left","UNK",NA,39
